Contract.Number,Plan.ID,SSA.State.County.Code,FIPS.State.County.Code,State,County,Enrollment
H5854,12,7010,9003,CT,Hartford,33
H5854,13,7000,9001,CT,Fairfield,1136
H5854,13,7010,9003,CT,Hartford,2507
H5854,13,7020,9005,CT,Litchfield,335
H5854,13,7030,9007,CT,Middlesex,345
H5854,13,7040,9009,CT,New Haven,2554
H5854,13,7050,9011,CT,New London,336
H5854,13,7060,9013,CT,Tolland,199
H5854,13,7070,9015,CT,Windham,200
H5854,15,7040,9009,CT,New Haven,415
H9572,802,7000,9001,CT,Fairfield,24
R7444,1,7000,9001,CT,Fairfield,1251
R7444,1,7010,9003,CT,Hartford,1101
R7444,1,7020,9005,CT,Litchfield,314
R7444,1,7030,9007,CT,Middlesex,187
R7444,1,7040,9009,CT,New Haven,676
R7444,1,7050,9011,CT,New London,458
R7444,1,7060,9013,CT,Tolland,200
R7444,1,7070,9015,CT,Windham,341
S0655,801,7010,9003,CT,Hartford,13
S2893,1,7000,9001,CT,Fairfield,2036
S2893,1,7010,9003,CT,Hartford,1601
S2893,1,7020,9005,CT,Litchfield,537
S2893,1,7030,9007,CT,Middlesex,472
S2893,1,7040,9009,CT,New Haven,1805
S2893,1,7050,9011,CT,New London,616
S2893,1,7060,9013,CT,Tolland,248
S2893,1,7070,9015,CT,Windham,238
S2893,3,7000,9001,CT,Fairfield,597
S2893,3,7010,9003,CT,Hartford,431
S2893,3,7020,9005,CT,Litchfield,124
S2893,3,7030,9007,CT,Middlesex,123
S2893,3,7040,9009,CT,New Haven,541
S2893,3,7050,9011,CT,New London,171
S2893,3,7060,9013,CT,Tolland,67
S2893,3,7070,9015,CT,Windham,53
S2893,801,7000,9001,CT,Fairfield,139
S2893,801,7010,9003,CT,Hartford,443
S2893,801,7020,9005,CT,Litchfield,115
S2893,801,7030,9007,CT,Middlesex,69
S2893,801,7040,9009,CT,New Haven,135
S2893,801,7050,9011,CT,New London,179
S2893,801,7060,9013,CT,Tolland,43
