"Contract_ID","Plan_ID","Segment_ID","Year","Contract_Plan_Segment","1","2","3","4","5","6","7","State_Enrollment","State_Eligibles","Star_Rating_3","Star_Rating_3.5","Star_Rating_4","Star_Rating_4.5"
"H3528",15,0,2020,"H3528-15-0",1.83867681468193e-09,18.6453532982477,6.25113254212458,1.86278644263972e-09,0.235850197218092,2.07171345288208e-09,8.85934495366497,1956,689828,0,0,0,1
"H3528",15,0,2021,"H3528-15-0",1.69599629251757e-09,20.9906972115244,6.04021064947703,1.71206466436007e-09,0.129029727756244,1.90211459047998e-09,9.45001586835869,1615,703271,0,0,1,0
"H3528",15,0,2022,"H3528-15-0",1.70634001150705e-09,21.3235145178443,5.753521363563,1.71827326039219e-09,0.133020452609218,1.90685627568229e-09,9.04232250961509,1395,716961,0,0,1,0
"H3528",16,0,2020,"H3528-16-0",0.0134682796407828,27.7582792648635,2.31244694610453e-09,0.472666037298128,0.347761047555818,0.0177714564368603,2.82649724485612e-09,1843,689828,0,0,0,1
"H3528",16,0,2021,"H3528-16-0",0.0010857591233568,28.1423980805461,0.563390687110797,0.000103679083949687,0.239850218275742,0.00010287705857318,0.0502145887784926,1578,703271,0,0,1,0
"H3528",16,0,2022,"H3528-16-0",0.0071482052259078,28.54416052365,2.28575923665099e-09,0.0123511966877361,0.3304512339806,6.89105695870986e-05,2.78952037776308e-09,1345,716961,0,0,1,0
"H3528",17,0,2021,"H3528-17-0",6.277528768158,25.9682157502558,1.9018991502536,1.58258825342837e-09,7.19158838821952e-09,1.71773600440307e-09,1.83190262009868e-05,253,703271,0,0,1,0
"H3528",17,0,2022,"H3528-17-0",3.92527740245648,29.053920460783,0.202707550799207,1.60392035496952e-09,7.08693925834016e-09,1.73702334028209e-09,2.41204951645315e-09,201,716961,0,0,1,0
"H3528",3,0,2019,"H3528-3-0",2.62995936510526e-09,2.40782441826341e-09,3.30162133843085e-09,2.65588901545574e-09,6.98133313419778,21.947927682246,4.902112155016e-09,1421,678880,0,0,1,0
"H3528",3,0,2020,"H3528-3-0",2.56374833694325e-09,1.92718829192614e-05,3.25800207077852e-09,2.61063580050898e-09,0.18173229917204,23.7539397891824,4.96622396013962e-09,1425,689828,0,0,0,1
"H3528",3,0,2021,"H3528-3-0",2.5085429920427e-09,2.34840923828665e-09,3.48551618900785e-05,2.55458605540387e-09,0.130615273948195,24.2864678878961,4.86075806519311e-09,1329,703271,0,0,1,0
"H3528",3,0,2022,"H3528-3-0",2.49528622420754e-09,2.3424607377564e-09,0.610976460541715,2.54646746781175e-09,1.4487310244698e-08,23.8480499874848,4.78136792500648e-09,1239,716961,0,0,1,0
"H3528",6,0,2019,"H3528-6-0",0.0148780131464262,26.0107024181414,2.29084232007234e-09,1.87935182782998e-09,7.10474249082391,8.75199273047607e-05,1.52466834483751,459,678880,0,0,1,0
"H3528",6,0,2020,"H3528-6-0",1.83327056067265e-08,24.9514438608566,2.21822094979914,1.80661639284687e-09,0.148087746336691,0.711034023209484,3.56573593765836,401,689828,0,0,0,1
"H3528",6,0,2021,"H3528-6-0",1.20957464114786e-06,25.979421455557,1.81127774172771,1.78561657279216e-09,0.128965373521961,0.381517030886077,3.40061616602793,350,703271,0,0,1,0
