"Contract_ID","Plan_ID","Segment_ID","Year","Premium","Annual_Deductible","In_MOOP","Out_MOOP","In_HP_Deductible","Out_HP_Deductible","In_Inpatient","Out_Inpatient","Out_Inpatient_Coin","In_Primary_Min","In_Primary_Max","Out_Primary_Min","Out_Primary_Max","Out_Primary_Coin","In_Specialist_Min","In_Specialist_Max","Out_Specialist_Min","Out_Specialist_Max","Out_Specialist_Coin","Emergency_Care","Urgent_Care_Min","Urgent_Care_Max","In_Ambulance","In_Ambulance_Coin","Out_Ambulance_Min","Out_Ambulance_Max","Out_Ambulance_Coin","In_Vision_Exam","Out_Vision_Exam","Out_Vision_Exam_Coin","In_Hearing_Exam","Out_Hearing_Exam_Min","Out_Hearing_Exam_Max","Out_Hearing_Exam_Coin","Tier1","Tier2","Tier3","Tier4","Tier4_Coin","Tier5_Coin","OTC_Yearly"
"H5793",1,0,2021,99,0,7550,NA,0,0,395,395,NA,15,15,15,15,NA,50,50,50,50,NA,90,15,50,315,NA,315,315,NA,0,0,NA,50,50,50,NA,2,5,47,100,NA,0.33,180
"H5793",10,0,2021,0,0,7550,NA,1000,NA,795,795,NA,15,15,15,15,NA,50,50,50,50,NA,90,15,50,295,NA,295,295,NA,0,0,NA,50,50,50,NA,2,5,47,100,NA,0.33,180
"H5793",12,0,2021,0,0,6700,NA,1000,NA,795,795,NA,0,0,0,0,NA,40,40,40,40,NA,90,0,40,295,NA,295,295,NA,0,0,NA,40,40,40,NA,0,5,47,100,NA,0.33,180
"H5854",7,0,2021,26,445,6700,NA,0,NA,430,430,NA,20,20,20,20,NA,50,50,50,50,NA,90,65,65,330,NA,330,330,NA,0,0,NA,50,50,50,NA,10,15,41,95,NA,0.25,NA
"H5854",9,0,2021,36,380,6700,NA,0,0,440,440,NA,20,20,20,20,NA,50,50,50,50,NA,90,65,65,325,NA,325,325,NA,0,0,NA,50,50,50,NA,12,15,42,95,NA,0.26,NA
"H5854",10,0,2021,0,275,6950,NA,0,0,385,385,NA,5,5,5,5,NA,45,45,45,45,NA,90,50,50,325,NA,325,325,NA,0,0,NA,45,45,45,NA,0,14,41,95,NA,0.28,140
"H5854",11,0,2021,35.2,445,6700,NA,0,0,400,400,NA,5,5,5,5,NA,40,40,40,40,NA,90,65,65,300,NA,300,300,NA,0,0,NA,40,40,40,NA,0,8,47,95,NA,0.25,200
"H3528",11,1,2021,49,300,5500,10000,0,0,465,NA,0.5,5,5,NA,NA,0.5,50,50,NA,NA,0.5,90,50,50,325,NA,325,325,NA,50,NA,NA,50,NA,NA,0.5,2,10,42,95,NA,0.27,200
"H1914",4,0,2022,27.2,480,6700,6700,0,0,525,NA,0.2,0,0,0,0,NA,40,40,250,250,NA,90,40,40,250,NA,0,250,NA,0,NA,0.4,40,0,250,NA,0,17,43,NA,0.43,0.25,400
"H2752",1,0,2022,0,0,6500,NA,0,0,475,475,NA,0,0,0,0,NA,40,40,0,40,NA,90,25,25,260,NA,260,260,NA,0,0,NA,25,25,25,NA,0,4,42,95,NA,0.33,180
