"","Contract.Number","Plan.ID","SSA.State.County.Code","FIPS.State.County.Code","State","County","Enrollment","Year"
"188","H4909",804,7030,9007,"CT","Middlesex",12,"2019"
"189","H4909",804,7040,9009,"CT","New Haven",373,"2019"
"190","H4909",805,7000,9001,"CT","Fairfield",5087,"2019"
"191","H4909",805,7010,9003,"CT","Hartford",4811,"2019"
"192","H4909",805,7020,9005,"CT","Litchfield",1308,"2019"
"193","H4909",805,7030,9007,"CT","Middlesex",1467,"2019"
"194","H4909",805,7040,9009,"CT","New Haven",4528,"2019"
"195","H4909",805,7050,9011,"CT","New London",1656,"2019"
"196","H4909",805,7060,9013,"CT","Tolland",1038,"2019"
"197","H4909",805,7070,9015,"CT","Windham",596,"2019"
"198","H5216",806,7000,9001,"CT","Fairfield",68,"2019"
"199","H5216",806,7010,9003,"CT","Hartford",95,"2019"
"200","H5216",806,7020,9005,"CT","Litchfield",15,"2019"
"201","H5216",806,7030,9007,"CT","Middlesex",21,"2019"
"202","H5216",806,7040,9009,"CT","New Haven",62,"2019"
"203","H5273",1,7010,9003,"CT","Hartford",104,"2019"
"204","H5273",1,7020,9005,"CT","Litchfield",11,"2019"
"205","H5273",1,7040,9009,"CT","New Haven",29,"2019"
"206","H5273",1,7050,9011,"CT","New London",24,"2019"
"207","H5273",1,7060,9013,"CT","Tolland",18,"2019"
"208","H5273",1,7070,9015,"CT","Windham",13,"2019"
"209","H5273",2,7010,9003,"CT","Hartford",34,"2019"
"210","H5273",2,7040,9009,"CT","New Haven",17,"2019"
"211","H5273",2,7060,9013,"CT","Tolland",15,"2019"
"212","H5273",3,7010,9003,"CT","Hartford",25,"2019"
"213","H5521",13,7000,9001,"CT","Fairfield",1083,"2019"
"214","H5521",13,7010,9003,"CT","Hartford",610,"2019"
"215","H5521",13,7020,9005,"CT","Litchfield",281,"2019"
"216","H5521",13,7030,9007,"CT","Middlesex",51,"2019"
"217","H5521",13,7040,9009,"CT","New Haven",1151,"2019"
"218","H5521",13,7050,9011,"CT","New London",67,"2019"
"219","H5521",13,7060,9013,"CT","Tolland",80,"2019"
"220","H5521",13,7070,9015,"CT","Windham",13,"2019"
"221","H5521",33,7000,9001,"CT","Fairfield",16,"2019"
"222","H5521",33,7010,9003,"CT","Hartford",14,"2019"
"223","H5521",157,7000,9001,"CT","Fairfield",6519,"2019"
"224","H5521",157,7010,9003,"CT","Hartford",5190,"2019"
"225","H5521",157,7020,9005,"CT","Litchfield",2163,"2019"
"226","H5521",157,7030,9007,"CT","Middlesex",751,"2019"
"227","H5521",157,7040,9009,"CT","New Haven",9397,"2019"
"228","H5521",157,7050,9011,"CT","New London",918,"2019"
"229","H5521",157,7060,9013,"CT","Tolland",795,"2019"
"230","H5521",157,7070,9015,"CT","Windham",395,"2019"
"231","H5521",801,7000,9001,"CT","Fairfield",735,"2019"
"232","H5521",801,7010,9003,"CT","Hartford",524,"2019"
"233","H5521",801,7020,9005,"CT","Litchfield",196,"2019"
"234","H5521",801,7030,9007,"CT","Middlesex",220,"2019"
"235","H5521",801,7040,9009,"CT","New Haven",3577,"2019"
"236","H5521",801,7050,9011,"CT","New London",125,"2019"
"237","H5521",801,7060,9013,"CT","Tolland",24,"2019"
"238","H5521",801,7070,9015,"CT","Windham",24,"2019"
"239","H5521",802,7000,9001,"CT","Fairfield",1082,"2019"
"240","H5521",802,7010,9003,"CT","Hartford",2290,"2019"
"241","H5521",802,7020,9005,"CT","Litchfield",212,"2019"
"242","H5521",802,7030,9007,"CT","Middlesex",292,"2019"
"243","H5521",802,7040,9009,"CT","New Haven",831,"2019"
"244","H5521",802,7050,9011,"CT","New London",349,"2019"
"245","H5521",802,7060,9013,"CT","Tolland",345,"2019"
"246","H5521",802,7070,9015,"CT","Windham",118,"2019"
"247","H5793",1,7000,9001,"CT","Fairfield",299,"2019"
"248","H5793",1,7010,9003,"CT","Hartford",1091,"2019"
"249","H5793",1,7020,9005,"CT","Litchfield",584,"2019"
"250","H5793",1,7040,9009,"CT","New Haven",352,"2019"
"251","H5793",1,7060,9013,"CT","Tolland",89,"2019"
"252","H5793",10,7000,9001,"CT","Fairfield",2065,"2019"
"253","H5793",10,7010,9003,"CT","Hartford",11,"2019"
"254","H5793",10,7030,9007,"CT","Middlesex",67,"2019"
"255","H5793",10,7040,9009,"CT","New Haven",3153,"2019"
"256","H5793",10,7050,9011,"CT","New London",135,"2019"
"257","H5793",11,7010,9003,"CT","Hartford",1699,"2019"
"258","H5793",11,7020,9005,"CT","Litchfield",618,"2019"
"259","H5793",11,7060,9013,"CT","Tolland",203,"2019"
"260","H5793",11,7070,9015,"CT","Windham",44,"2019"
"261","H5793",12,7000,9001,"CT","Fairfield",190,"2019"
"262","H5793",12,7010,9003,"CT","Hartford",296,"2019"
"263","H5793",12,7020,9005,"CT","Litchfield",59,"2019"
"264","H5793",12,7030,9007,"CT","Middlesex",32,"2019"
"265","H5793",12,7040,9009,"CT","New Haven",305,"2019"
"266","H5793",12,7050,9011,"CT","New London",49,"2019"
"267","H5793",12,7060,9013,"CT","Tolland",29,"2019"
"268","H5793",12,7070,9015,"CT","Windham",17,"2019"
"269","H5854",7,7010,9003,"CT","Hartford",764,"2019"
