Contract.Number,Plan.ID,SSA.State.County.Code,FIPS.State.County.Code,State,County,Enrollment,Year
H0755,31,7020,9005,CT,Litchfield,938,2020
H0755,31,7030,9007,CT,Middlesex,883,2020
H0755,31,7040,9009,CT,New Haven,3292,2020
H0755,31,7050,9011,CT,New London,1741,2020
H0755,31,7060,9013,CT,Tolland,1372,2020
H0755,31,7070,9015,CT,Windham,942,2020
H0755,32,7000,9001,CT,Fairfield,87,2020
H0755,32,7010,9003,CT,Hartford,125,2020
H0755,32,7020,9005,CT,Litchfield,31,2020
H0755,32,7030,9007,CT,Middlesex,19,2020
H0755,32,7040,9009,CT,New Haven,91,2020
H0755,32,7050,9011,CT,New London,59,2020
H0755,32,7060,9013,CT,Tolland,11,2020
H0755,32,7070,9015,CT,Windham,12,2020
H0755,33,7000,9001,CT,Fairfield,4103,2020
H0755,33,7010,9003,CT,Hartford,7095,2020
H0755,33,7020,9005,CT,Litchfield,1109,2020
H0755,33,7030,9007,CT,Middlesex,1183,2020
H0755,33,7040,9009,CT,New Haven,3965,2020
H0755,33,7050,9011,CT,New London,1934,2020
H0755,33,7060,9013,CT,Tolland,1181,2020
H0755,33,7070,9015,CT,Windham,1049,2020
H0755,40,7000,9001,CT,Fairfield,*,2020
H0755,40,7010,9003,CT,Hartford,*,2020
H0755,40,7050,9011,CT,New London,*,2020
H0755,810,7000,9001,CT,Fairfield,35,2020
H0755,810,7010,9003,CT,Hartford,82,2020
H0755,810,7020,9005,CT,Litchfield,17,2020
H0755,810,7030,9007,CT,Middlesex,*,2020
H0755,810,7040,9009,CT,New Haven,57,2020
H0755,810,7050,9011,CT,New London,12,2020
H0755,810,7060,9013,CT,Tolland,20,2020
H0755,810,7070,9015,CT,Windham,*,2020
H0755,811,7000,9001,CT,Fairfield,*,2020
H0755,811,7010,9003,CT,Hartford,*,2020
H0755,811,7020,9005,CT,Litchfield,*,2020
H0755,811,7030,9007,CT,Middlesex,*,2020
H0755,811,7040,9009,CT,New Haven,*,2020
H0755,811,7050,9011,CT,New London,*,2020
H0755,811,7060,9013,CT,Tolland,*,2020
H0755,811,7070,9015,CT,Windham,*,2020
H0755,812,7000,9001,CT,Fairfield,*,2020
H0755,812,7010,9003,CT,Hartford,*,2020
H0755,812,7020,9005,CT,Litchfield,*,2020
H0755,812,7030,9007,CT,Middlesex,*,2020
H0755,812,7040,9009,CT,New Haven,*,2020
H0755,812,7050,9011,CT,New London,*,2020
H0755,812,7060,9013,CT,Tolland,*,2020
