"Contract.Number","Plan.ID","SSA.State.County.Code","FIPS.State.County.Code","State","County","Enrollment","Year"
"H5854",11,7040,9009,"CT","New Haven","510",2022
"H5854",11,7050,9011,"CT","New London","282",2022
"H5854",11,7060,9013,"CT","Tolland","94",2022
"H5854",11,7070,9015,"CT","Windham","66",2022
"H5854",12,7000,9001,"CT","Fairfield","21",2022
"H5854",12,7010,9003,"CT","Hartford","25",2022
"H5854",12,7040,9009,"CT","New Haven","27",2022
"H5854",13,7000,9001,"CT","Fairfield","2078",2022
"H5854",13,7010,9003,"CT","Hartford","4392",2022
"H5854",13,7020,9005,"CT","Litchfield","628",2022
"H5854",13,7030,9007,"CT","Middlesex","639",2022
"H5854",13,7040,9009,"CT","New Haven","4411",2022
"H5854",13,7050,9011,"CT","New London","649",2022
"H5854",13,7060,9013,"CT","Tolland","351",2022
"H5854",13,7070,9015,"CT","Windham","426",2022
"H5854",14,7000,9001,"CT","Fairfield","18",2022
"H5854",14,7010,9003,"CT","Hartford","54",2022
"H5854",14,7030,9007,"CT","Middlesex","41",2022
"H5854",14,7040,9009,"CT","New Haven","28",2022
"H5854",14,7060,9013,"CT","Tolland","22",2022
"H5854",15,7040,9009,"CT","New Haven","464",2022
"H6078",801,7000,9001,"CT","Fairfield","18",2022
"H7849",52,7040,9009,"CT","New Haven","322",2022
"H7849",54,7040,9009,"CT","New Haven","48",2022
"H9572",802,7000,9001,"CT","Fairfield","29",2022
"R7444",1,7000,9001,"CT","Fairfield","1150",2022
"R7444",1,7010,9003,"CT","Hartford","893",2022
"R7444",1,7020,9005,"CT","Litchfield","257",2022
"R7444",1,7030,9007,"CT","Middlesex","160",2022
"R7444",1,7040,9009,"CT","New Haven","578",2022
"R7444",1,7050,9011,"CT","New London","381",2022
"R7444",1,7060,9013,"CT","Tolland","178",2022
"R7444",1,7070,9015,"CT","Windham","207",2022
"S0655",801,7010,9003,"CT","Hartford","15",2022
"S2893",1,7000,9001,"CT","Fairfield","1582",2022
"S2893",1,7010,9003,"CT","Hartford","1231",2022
"S2893",1,7020,9005,"CT","Litchfield","434",2022
"S2893",1,7030,9007,"CT","Middlesex","361",2022
"S2893",1,7040,9009,"CT","New Haven","1410",2022
"S2893",1,7050,9011,"CT","New London","480",2022
"S2893",1,7060,9013,"CT","Tolland","210",2022
"S2893",1,7070,9015,"CT","Windham","189",2022
"S2893",3,7000,9001,"CT","Fairfield","502",2022
"S2893",3,7010,9003,"CT","Hartford","357",2022
"S2893",3,7020,9005,"CT","Litchfield","100",2022
